,ChIJD7G2bqduEg0ROdrTdOj1Jok,ChIJO7l_l7f8cQ0Rf6IhEu_RjYA,ChIJk_s92NyipBIRUMnDG8Kq2Js,ChIJYUFLSe2ipBIRD04uni940kA,ChIJwamkfX4oQg0RUUjO1nnsfy4,ChIJ7aLYZp0oQg0RWoitk33wlBA,ChIJq0HUUq6ipBIRWM6qGqALmok,ChIJS6JBjBlsEg0Rh_7Brr92qbo,ChIJv-yiGoMoQg0Rj1LLgnhKk1o,ChIJvQc62ygmQg0Rcb-6WdEUmDA,ChIJa-K8mf6ipBIRY8wAB3EeASc,ChIJB0dBJkP-Lg0RxRaj0LljjqE,ChIJVY-vfUWSlxIRqoH9muibDFQ,ChIJn8VTZcc-QQ0RM9sD_wOgKzA,ChIJWRLqi24oQg0RqwZ3SsbZah0,ChIJe4IR9Z8oQg0RrqMktRYnbJ4,ChIJAVoetfeipBIR1a1z3FTGCoY,ChIJgUOb0elIYA0RlPjrpQdE62I,ChIJF9bzXCYKQQ0RjwwnAXLaYNY,ChIJ57iIa6U3Yg0RCD4iSor1MEM,ChIJI_FYeHcoQg0RcqwG5gDs3H8,ChIJtTFg3t5PTg0RrW2vzbeTiFA,ChIJgUe1VRdsEg0R5W0e512gneQ,ChIJmy6-B6AoQg0RWfqNzFXrq3k,ChIJiymaZO0oQg0RIuMgSth17No,ChIJu876nIdFYA0Rr8T2YhMHKFU,ChIJLW4ZIXkoQg0R6JDRTdPmLxY,ChIJ329u8cxPTg0RX7XirbQve-0,ChIJwzjYwG8oQg0RqHNjv78udl0,ChIJEU-WHeZZoRIR0KjSG5WrWlQ,ChIJTfzMspwoQg0RNgubC1KTTB0,ChIJAY_6EZO-cg0RuNT7qui7mlk,ChIJySfBCJooQg0Ry8Qhx3Mk3zs,ChIJHQS2xgqIQQ0RgyGlQ3AakYk,ChIJv3ERb-IoQg0Rs2mh59vAhRY,ChIJ35PCcoQoQg0RGhxNE3_2Iak,ChIJZY540HsoQg0Rrq2nqutjg6I,ChIJaQbyBhMoQg0RnrxRkEi3nxQ,ChIJeQ--ZogoQg0RpbSSHRBuj8U,ChIJ1VA7UXcoQg0RI0MvNRtWfiI,ChIJrWpuK2QoQg0RNy5SsBRnZK0,ChIJ4-4wsokoQg0Rg8n_sK3Jiy0,ChIJAQAAANAxQg0R786FD-old24
ChIJD7G2bqduEg0ROdrTdOj1Jok,0.0,10075.0,35825.0,35437.0,18239.0,18095.0,35567.0,561.0,18064.0,18132.0,35340.0,30320.0,53620.0,20807.0,17946.0,18148.0,35259.0,23571.0,19166.0,21794.0,18164.0,29844.0,563.0,18418.0,18478.0,23127.0,18277.0,29632.0,18018.0,31323.0,18360.0,7191.0,18258.0,17714.0,18629.0,18176.0,18489.0,18165.0,18563.0,18147.0,18336.0,18534.0,18501.0
ChIJO7l_l7f8cQ0Rf6IhEu_RjYA,10017.0,0.0,31597.0,31209.0,15250.0,15068.0,31339.0,10228.0,15037.0,15114.0,31112.0,34913.0,45541.0,18292.0,15071.0,15121.0,31031.0,18434.0,16959.0,13715.0,15178.0,28929.0,10230.0,15258.0,15390.0,18655.0,15307.0,28717.0,15143.0,27095.0,15190.0,6196.0,15147.0,15203.0,15399.0,15149.0,15615.0,15242.0,15610.0,15158.0,15461.0,15508.0,14998.0
ChIJk_s92NyipBIRUMnDG8Kq2Js,35837.0,31507.0,0.0,553.0,22508.0,22023.0,466.0,36022.0,22044.0,22274.0,1316.0,39852.0,30894.0,25626.0,22329.0,22014.0,1172.0,13443.0,24307.0,19666.0,22436.0,21790.0,35944.0,22045.0,21941.0,13619.0,22566.0,21578.0,22401.0,4930.0,21987.0,35746.0,21944.0,22528.0,21978.0,22015.0,22482.0,22468.0,22382.0,22416.0,22470.0,22259.0,21738.0
ChIJYUFLSe2ipBIRD04uni940kA,35557.0,31227.0,534.0,0.0,22502.0,22017.0,823.0,35742.0,22038.0,22268.0,1241.0,39846.0,30707.0,25620.0,22323.0,22008.0,779.0,13163.0,24301.0,19387.0,22430.0,21784.0,35664.0,22039.0,21935.0,13339.0,22560.0,21572.0,22395.0,4650.0,21981.0,35466.0,21938.0,22522.0,21971.0,22009.0,22476.0,22462.0,22376.0,22410.0,22464.0,22253.0,21536.0
ChIJwamkfX4oQg0RUUjO1nnsfy4,18373.0,15104.0,22863.0,22661.0,0.0,633.0,22563.0,18115.0,597.0,626.0,22518.0,20819.0,44852.0,4199.0,358.0,736.0,22437.0,13034.0,2879.0,14913.0,79.0,14738.0,18038.0,1006.0,933.0,12591.0,300.0,14526.0,317.0,19860.0,880.0,19390.0,791.0,805.0,1264.0,709.0,481.0,514.0,796.0,210.0,635.0,844.0,1279.0
ChIJ7aLYZp0oQg0RWoitk33wlBA,18409.0,15053.0,22596.0,22394.0,827.0,0.0,22296.0,18152.0,81.0,404.0,22251.0,20991.0,44538.0,4371.0,769.0,238.0,22170.0,12721.0,3051.0,14712.0,813.0,14690.0,18074.0,507.0,495.0,12277.0,664.0,14477.0,728.0,19593.0,359.0,19339.0,275.0,1000.0,827.0,193.0,659.0,1013.0,654.0,815.0,792.0,552.0,807.0
ChIJq0HUUq6ipBIRWM6qGqALmok,35644.0,31313.0,658.0,1006.0,22314.0,21830.0,0.0,35828.0,21850.0,22080.0,1682.0,39659.0,31347.0,25433.0,22135.0,21820.0,1625.0,13249.0,24113.0,19473.0,22242.0,21597.0,35751.0,21851.0,21747.0,13425.0,22372.0,21384.0,22208.0,4737.0,21793.0,35552.0,21751.0,22334.0,21784.0,21822.0,22288.0,22274.0,22189.0,22223.0,22276.0,22066.0,21437.0
ChIJS6JBjBlsEg0Rh_7Brr92qbo,568.0,10101.0,35916.0,35528.0,18406.0,18262.0,35658.0,0.0,18231.0,18299.0,35431.0,30487.0,53646.0,20974.0,18112.0,18315.0,35349.0,23662.0,19333.0,21820.0,18331.0,30011.0,730.0,18584.0,18644.0,23218.0,18444.0,29799.0,18185.0,31414.0,18527.0,7217.0,18425.0,17881.0,18796.0,18343.0,18656.0,18332.0,18730.0,18314.0,18503.0,18701.0,18243.0
ChIJv-yiGoMoQg0Rj1LLgnhKk1o,18699.0,15319.0,22614.0,22412.0,869.0,186.0,22314.0,18441.0,0.0,569.0,22269.0,21129.0,44723.0,4509.0,687.0,257.0,22188.0,12905.0,3189.0,14897.0,732.0,14624.0,18364.0,592.0,413.0,12462.0,582.0,14411.0,646.0,19611.0,317.0,19604.0,193.0,1132.0,745.0,111.0,578.0,932.0,573.0,734.0,710.0,470.0,828.0
ChIJvQc62ygmQg0Rcb-6WdEUmDA,18457.0,15101.0,22622.0,22420.0,740.0,211.0,22321.0,18199.0,180.0,0.0,22277.0,21039.0,44564.0,4418.0,867.0,263.0,22195.0,12746.0,3098.0,14738.0,716.0,14715.0,18122.0,533.0,593.0,12303.0,577.0,14503.0,826.0,19618.0,476.0,19387.0,373.0,1048.0,925.0,291.0,758.0,1009.0,753.0,710.0,890.0,650.0,1032.0
ChIJa-K8mf6ipBIRY8wAB3EeASc,35620.0,31290.0,1185.0,949.0,22461.0,21976.0,1544.0,35805.0,21997.0,22226.0,0.0,39805.0,30383.0,25579.0,22281.0,21967.0,821.0,13226.0,24259.0,19450.0,22388.0,21743.0,35728.0,21997.0,21893.0,13402.0,22518.0,21531.0,22354.0,4714.0,21939.0,35529.0,21897.0,22480.0,21930.0,21968.0,22435.0,22420.0,22335.0,22369.0,22422.0,22212.0,21393.0
ChIJB0dBJkP-Lg0RxRaj0LljjqE,30741.0,34783.0,38900.0,38698.0,20854.0,20806.0,38599.0,30483.0,20775.0,20852.0,38555.0,0.0,64849.0,18847.0,20521.0,20858.0,38473.0,33032.0,19447.0,34549.0,20717.0,20792.0,30406.0,21128.0,20667.0,32588.0,20938.0,20915.0,20545.0,35896.0,20972.0,36627.0,20914.0,20746.0,20789.0,20886.0,20830.0,20416.0,20865.0,20719.0,20685.0,20890.0,20928.0
ChIJVY-vfUWSlxIRqoH9muibDFQ,53671.0,45611.0,30794.0,30523.0,45032.0,44683.0,31153.0,53882.0,44704.0,44740.0,30178.0,65043.0,0.0,48422.0,44853.0,44629.0,30097.0,31571.0,47103.0,32946.0,44960.0,50875.0,53884.0,44618.0,44921.0,33533.0,45090.0,50663.0,44926.0,33846.0,44647.0,49850.0,44604.0,45052.0,44878.0,44675.0,45142.0,45024.0,45137.0,44940.0,45220.0,44948.0,44329.0
ChIJn8VTZcc-QQ0RM9sD_wOgKzA,21106.0,18332.0,25988.0,25787.0,4402.0,4354.0,25688.0,20849.0,4323.0,4400.0,25643.0,18986.0,48398.0,0.0,4069.0,4406.0,25562.0,16580.0,2995.0,18097.0,4265.0,13545.0,20772.0,4676.0,4215.0,16137.0,4486.0,13333.0,4094.0,22985.0,4521.0,22617.0,4462.0,4294.0,4337.0,4434.0,4378.0,3965.0,4413.0,4267.0,4234.0,4439.0,4307.0
ChIJWRLqi24oQg0RqwZ3SsbZah0,18218.0,15076.0,22834.0,22632.0,388.0,779.0,22534.0,17960.0,749.0,807.0,22489.0,20689.0,44823.0,4068.0,0.0,832.0,22408.0,13006.0,2748.0,14884.0,251.0,14638.0,17883.0,1102.0,664.0,12562.0,472.0,14426.0,105.0,19831.0,937.0,19361.0,878.0,651.0,996.0,916.0,611.0,451.0,650.0,253.0,423.0,730.0,1099.0
ChIJe4IR9Z8oQg0RrqMktRYnbJ4,18505.0,15074.0,22521.0,22319.0,790.0,206.0,22220.0,18247.0,227.0,338.0,22176.0,21087.0,44463.0,4466.0,890.0,0.0,22095.0,12646.0,3146.0,14637.0,718.0,14614.0,18170.0,432.0,560.0,12202.0,774.0,14402.0,848.0,19518.0,285.0,19359.0,243.0,1096.0,892.0,314.0,780.0,997.0,775.0,698.0,858.0,586.0,798.0
ChIJAVoetfeipBIR1a1z3FTGCoY,35602.0,31271.0,877.0,425.0,22442.0,21957.0,1190.0,35786.0,21978.0,22208.0,788.0,39786.0,30365.0,25561.0,22263.0,21948.0,0.0,13207.0,24241.0,19431.0,22370.0,21724.0,35709.0,21979.0,21875.0,13384.0,22500.0,21512.0,22336.0,4695.0,21921.0,35511.0,21878.0,22462.0,21912.0,21950.0,22416.0,22402.0,22317.0,22350.0,22404.0,22193.0,21311.0
ChIJgUOb0elIYA0RlPjrpQdE62I,23617.0,18399.0,13823.0,13436.0,13067.0,12718.0,13566.0,23801.0,12739.0,12775.0,13338.0,33078.0,31349.0,16457.0,12887.0,12663.0,13257.0,0.0,15137.0,6570.0,12994.0,21763.0,23724.0,12653.0,12956.0,1045.0,13124.0,21550.0,12960.0,9321.0,12681.0,22638.0,12639.0,13086.0,12913.0,12710.0,13176.0,13059.0,13171.0,12975.0,13254.0,12982.0,12511.0
ChIJF9bzXCYKQQ0RjwwnAXLaYNY,19482.0,16997.0,24653.0,24451.0,3067.0,3019.0,24353.0,19224.0,2988.0,3065.0,24308.0,19562.0,47063.0,2942.0,2734.0,3071.0,24227.0,15245.0,0.0,16762.0,2930.0,15487.0,19147.0,3341.0,2880.0,14802.0,3151.0,15275.0,2759.0,21650.0,3186.0,21282.0,3127.0,2860.0,3002.0,3099.0,3043.0,2630.0,3078.0,2932.0,2899.0,3104.0,2987.0
ChIJ57iIa6U3Yg0RCD4iSor1MEM,21829.0,13768.0,19754.0,19367.0,15174.0,14877.0,19496.0,22040.0,14897.0,14934.0,19269.0,34841.0,32847.0,18221.0,14995.0,14822.0,19188.0,6603.0,16888.0,0.0,15102.0,27710.0,22042.0,14812.0,15115.0,6824.0,15232.0,27498.0,15068.0,15252.0,14840.0,18007.0,14797.0,15127.0,15071.0,14869.0,15335.0,15166.0,15330.0,15082.0,15413.0,15141.0,14502.0
ChIJI_FYeHcoQg0RcqwG5gDs3H8,18229.0,15001.0,22760.0,22558.0,72.0,607.0,22459.0,17971.0,571.0,513.0,22414.0,20709.0,44748.0,4088.0,215.0,709.0,22333.0,12931.0,2768.0,14809.0,0.0,14628.0,17894.0,979.0,789.0,12487.0,273.0,14415.0,174.0,19756.0,853.0,19286.0,764.0,662.0,1121.0,682.0,455.0,462.0,718.0,131.0,491.0,767.0,1206.0
ChIJtTFg3t5PTg0RrW2vzbeTiFA,30325.0,28724.0,22012.0,21810.0,14761.0,14404.0,21711.0,30067.0,14424.0,14599.0,21667.0,20950.0,51098.0,13497.0,14511.0,14394.0,21585.0,21755.0,15367.0,27991.0,14707.0,0.0,29990.0,14425.0,14306.0,21943.0,14877.0,521.0,14536.0,19008.0,14367.0,33010.0,14324.0,14684.0,14172.0,14396.0,14820.0,14355.0,14748.0,14669.0,14676.0,14625.0,13724.0
ChIJgUe1VRdsEg0R5W0e512gneQ,659.0,10252.0,36111.0,35723.0,18222.0,18078.0,35853.0,408.0,18047.0,18115.0,35626.0,30303.0,53798.0,20790.0,17928.0,18130.0,35544.0,23856.0,19149.0,21972.0,18146.0,29827.0,0.0,18400.0,18460.0,23413.0,18260.0,29615.0,18001.0,31608.0,18343.0,7369.0,18240.0,17697.0,18612.0,18158.0,18472.0,18147.0,18546.0,18130.0,18319.0,18517.0,18166.0
ChIJmy6-B6AoQg0RWfqNzFXrq3k,18746.0,15239.0,22535.0,22333.0,1100.0,351.0,22234.0,18488.0,372.0,653.0,22189.0,21251.0,44643.0,4630.0,919.0,342.0,22108.0,12826.0,3310.0,14817.0,963.0,14544.0,18411.0,0.0,573.0,12382.0,954.0,14332.0,878.0,19531.0,315.0,19525.0,272.0,1363.0,830.0,343.0,810.0,1164.0,813.0,965.0,887.0,615.0,829.0
ChIJiymaZO0oQg0RIuMgSth17No,18821.0,15475.0,22488.0,22286.0,984.0,446.0,22187.0,18563.0,666.0,947.0,22142.0,20773.0,44962.0,4153.0,716.0,636.0,22061.0,13144.0,2833.0,15135.0,883.0,14574.0,18486.0,831.0,0.0,12701.0,1104.0,14362.0,738.0,19484.0,443.0,19761.0,385.0,1254.0,478.0,427.0,712.0,869.0,500.0,885.0,574.0,430.0,750.0
ChIJu876nIdFYA0Rr8T2YhMHKFU,23265.0,18618.0,13588.0,13201.0,12715.0,12366.0,13331.0,23449.0,12387.0,12423.0,13103.0,32726.0,33340.0,16105.0,12536.0,12311.0,13022.0,949.0,14785.0,6789.0,12643.0,21544.0,23372.0,12301.0,12604.0,0.0,12772.0,21332.0,12608.0,9086.0,12329.0,22857.0,12287.0,12735.0,12561.0,12358.0,12825.0,12707.0,12820.0,12623.0,12902.0,12630.0,12068.0
ChIJLW4ZIXkoQg0R6JDRTdPmLxY,18374.0,15140.0,22898.0,22696.0,217.0,509.0,22598.0,18116.0,473.0,652.0,22553.0,20854.0,44887.0,4234.0,360.0,612.0,22472.0,13070.0,2914.0,14948.0,192.0,14773.0,18039.0,882.0,863.0,12626.0,0.0,14561.0,319.0,19895.0,756.0,19425.0,667.0,807.0,1219.0,585.0,357.0,607.0,672.0,323.0,637.0,720.0,1336.0
ChIJ329u8cxPTg0RX7XirbQve-0,29963.0,28363.0,21651.0,21449.0,14400.0,14042.0,21350.0,29706.0,14063.0,14237.0,21305.0,20914.0,50736.0,13136.0,14150.0,14033.0,21224.0,21393.0,15005.0,27629.0,14346.0,1026.0,29629.0,14064.0,13945.0,21582.0,14515.0,0.0,14174.0,18647.0,14006.0,32649.0,13963.0,14323.0,13810.0,14034.0,14459.0,13993.0,14387.0,14308.0,14314.0,14263.0,13512.0
ChIJwzjYwG8oQg0RqHNjv78udl0,18323.0,15180.0,22939.0,22737.0,493.0,829.0,22638.0,18065.0,853.0,912.0,22594.0,20684.0,44928.0,4063.0,186.0,936.0,22512.0,13110.0,2743.0,14989.0,355.0,14633.0,17988.0,1206.0,615.0,12667.0,576.0,14421.0,0.0,19935.0,887.0,19466.0,837.0,755.0,947.0,810.0,506.0,556.0,545.0,357.0,318.0,593.0,1172.0
ChIJEU-WHeZZoRIR0KjSG5WrWlQ,31423.0,27092.0,5107.0,4719.0,19680.0,19195.0,4849.0,31607.0,19216.0,19446.0,4622.0,37024.0,34053.0,22798.0,19501.0,19186.0,4540.0,9028.0,21479.0,15252.0,19608.0,18962.0,31530.0,19217.0,19113.0,9204.0,19738.0,18750.0,19573.0,0.0,19159.0,31331.0,19116.0,19700.0,19149.0,19187.0,19654.0,19640.0,19554.0,19588.0,19642.0,19431.0,18734.0
ChIJTfzMspwoQg0RNgubC1KTTB0,18479.0,15123.0,22630.0,22428.0,870.0,70.0,22330.0,18221.0,125.0,474.0,22285.0,21061.0,44608.0,4440.0,812.0,193.0,22204.0,12790.0,3120.0,14781.0,857.0,14640.0,18144.0,577.0,538.0,12347.0,707.0,14427.0,771.0,19627.0,0.0,19408.0,209.0,1070.0,870.0,236.0,703.0,1057.0,698.0,859.0,825.0,553.0,771.0
ChIJAY_6EZO-cg0RuNT7qui7mlk,7126.0,6230.0,35831.0,35443.0,19514.0,19333.0,35573.0,7337.0,19302.0,19379.0,35346.0,36523.0,49775.0,22557.0,19335.0,19385.0,35265.0,22668.0,21224.0,17949.0,19442.0,33194.0,7339.0,19522.0,19654.0,22889.0,19572.0,32982.0,19408.0,31329.0,19455.0,0.0,19412.0,19468.0,19664.0,19414.0,19880.0,19507.0,19875.0,19423.0,19726.0,19772.0,19283.0
ChIJySfBCJooQg0Ry8Qhx3Mk3zs,18786.0,15339.0,22577.0,22375.0,977.0,267.0,22276.0,18528.0,448.0,729.0,22231.0,20986.0,44744.0,4365.0,681.0,418.0,22150.0,12926.0,3045.0,14917.0,848.0,14595.0,18451.0,613.0,269.0,12483.0,1030.0,14382.0,702.0,19573.0,207.0,19625.0,0.0,1218.0,602.0,241.0,706.0,1048.0,494.0,850.0,568.0,296.0,728.0
ChIJHQS2xgqIQQ0RgyGlQ3AakYk,17937.0,15190.0,22949.0,22747.0,873.0,894.0,22648.0,17679.0,863.0,940.0,22603.0,20783.0,44938.0,4162.0,545.0,946.0,22522.0,13120.0,2842.0,14998.0,763.0,14702.0,17602.0,1216.0,1137.0,12677.0,930.0,14490.0,618.0,19945.0,1159.0,19476.0,1056.0,0.0,1431.0,974.0,1088.0,764.0,1162.0,781.0,935.0,1202.0,1298.0
ChIJv3ERb-IoQg0Rs2mh59vAhRY,18852.0,15345.0,22451.0,22249.0,1388.0,779.0,22150.0,18594.0,981.0,1262.0,22106.0,21061.0,44809.0,4440.0,1055.0,951.0,22024.0,12992.0,3120.0,14983.0,1251.0,14273.0,18517.0,1044.0,501.0,12548.0,1472.0,14061.0,1080.0,19447.0,776.0,19631.0,718.0,1459.0,0.0,760.0,1238.0,1157.0,1022.0,1253.0,1099.0,816.0,787.0
ChIJ35PCcoQoQg0RGhxNE3_2Iak,18585.0,15442.0,22857.0,22655.0,755.0,429.0,22556.0,18327.0,693.0,974.0,22512.0,21139.0,44966.0,4519.0,573.0,663.0,22430.0,13148.0,3199.0,15139.0,618.0,14866.0,18250.0,835.0,656.0,12705.0,839.0,14654.0,532.0,19853.0,560.0,19728.0,436.0,1018.0,988.0,0.0,464.0,818.0,459.0,620.0,596.0,440.0,799.0
ChIJZY540HsoQg0Rrq2nqutjg6I,18355.0,15213.0,22972.0,22770.0,479.0,683.0,22671.0,18098.0,647.0,825.0,22627.0,20935.0,44961.0,4314.0,344.0,785.0,22545.0,13143.0,2994.0,15022.0,388.0,14984.0,18020.0,1055.0,675.0,12700.0,559.0,14772.0,303.0,19968.0,976.0,19499.0,820.0,788.0,1067.0,794.0,0.0,588.0,484.0,390.0,415.0,532.0,1266.0
ChIJaQbyBhMoQg0RnrxRkEi3nxQ,18139.0,14928.0,22687.0,22485.0,436.0,632.0,22386.0,17882.0,601.0,678.0,22342.0,20559.0,44676.0,3938.0,318.0,684.0,22260.0,12858.0,2618.0,14737.0,364.0,14478.0,17804.0,954.0,909.0,12415.0,547.0,14266.0,390.0,19683.0,897.0,19214.0,794.0,572.0,1058.0,712.0,861.0,0.0,935.0,345.0,708.0,975.0,1148.0
ChIJeQ--ZogoQg0RpbSSHRBuj8U,18684.0,15571.0,22826.0,22624.0,849.0,505.0,22525.0,18426.0,766.0,1048.0,22481.0,20912.0,45062.0,4291.0,580.0,736.0,22399.0,13245.0,2972.0,15236.0,746.0,14861.0,18349.0,931.0,521.0,12801.0,967.0,14649.0,601.0,19822.0,488.0,19857.0,429.0,1117.0,882.0,486.0,578.0,947.0,0.0,748.0,439.0,51.0,1192.0
ChIJ1VA7UXcoQg0RI0MvNRtWfiI,18253.0,15012.0,22771.0,22569.0,171.0,699.0,22470.0,17995.0,668.0,525.0,22426.0,20720.0,44760.0,4099.0,314.0,681.0,22344.0,12942.0,2779.0,14821.0,99.0,14639.0,17918.0,951.0,888.0,12499.0,354.0,14427.0,273.0,19767.0,894.0,19298.0,851.0,686.0,1253.0,779.0,554.0,446.0,817.0,0.0,590.0,866.0,1187.0
ChIJrWpuK2QoQg0RNy5SsBRnZK0,18539.0,15396.0,22927.0,22725.0,709.0,788.0,22626.0,18281.0,945.0,1105.0,22582.0,20861.0,45144.0,4240.0,544.0,915.0,22500.0,13326.0,2920.0,15205.0,571.0,14810.0,18204.0,1110.0,470.0,12883.0,792.0,14598.0,486.0,19923.0,770.0,19682.0,712.0,972.0,862.0,769.0,487.0,772.0,424.0,573.0,0.0,474.0,1280.0
ChIJ4-4wsokoQg0Rg8n_sK3Jiy0,18633.0,15520.0,22802.0,22600.0,798.0,499.0,22501.0,18376.0,760.0,1041.0,22457.0,20861.0,45056.0,4241.0,529.0,730.0,22375.0,13238.0,2921.0,15229.0,696.0,14811.0,18299.0,925.0,470.0,12795.0,917.0,14598.0,550.0,19798.0,481.0,19806.0,423.0,1066.0,833.0,479.0,527.0,896.0,187.0,698.0,389.0,0.0,1069.0
ChIJAQAAANAxQg0R786FD-old24,18518.0,15299.0,21620.0,21613.0,1445.0,1110.0,21426.0,18685.0,1122.0,1136.0,21572.0,20941.0,44658.0,4490.0,1416.0,1035.0,21554.0,12692.0,3155.0,14851.0,1341.0,13715.0,18500.0,1042.0,1059.0,12341.0,1480.0,13354.0,1520.0,18791.0,1138.0,19563.0,1149.0,1530.0,1023.0,1365.0,1553.0,1268.0,1398.0,1353.0,1499.0,1374.0,0.0
